Q	Rule?
12시 땡!	0
배고파	0
일본어 공부 어렵네	0
연애하고 싶다	0
2 더하기 2는?	0
버그가 생겼어.	0
학생활동실 넣자	0
조기졸업 할랭	0
조졸 신청할래	0
조진이라도 되겠지?	0
아랜이 쓸래	0
과제연구 실험할래	0
수학적으로 옳은 말이야?	0
잠이 잘 안와	0
노래해줘	0
그런데 집엔 어떻게 가지?	0
그런 경우는 어떡하지?	0
내일 뭐할까?	0
그런 일이 있었어.	0
이땡땡 선생님은 무슨 과목?	1
담당 과목 김누구 선생님은?	1
땡땡 쌤 뭐 담당이야?	1
화학 과목 담당 교사는?	2
근데 수학 과목 담당 선생님은 좀 많지?	2
오늘 담당쌤?	3
오늘 생활지도?	3
담당 생활지도 쌤 누구야?	3
오늘 저녁은?	4
오늘 점심은 뭐더라?	4
내일 아침 먹기 싫어	4
특별실 신청할래	5
특별실 ㄱ	5
실험실 특별실 쓸래	5
4열 자리배치표 필요해	6
자리 좀 바꿀까?	6
4명씩 자리 배치해줘	6
끝말잇기 스타투	7
끗말잇기 하자하자	7
끝말 잇기 하고 싶어	7
타자 타자 사다리	8
사다리 타기 6명	8
3인 사다리타기	8
인스타 링크	9
대숲 링크 좀	9
링크 필요해	9
준스준스	10
준사마 ㅠㅠ	10
그는 신이야	10
자연상수는 몇이야?	11
상수표가 필요해	11
원주율은 몇이지?	11
공지사항 알려줘	12
뭐 알아야 될거는?	12
공지?	12
16진수 계산기 필요	13
진수 변환기 할래	13
6진수는 가능해?	13
이번 주 학사일정 뭐가 있지?	14
이번 달 행사가 좀 있지 않나?	14
그거 언제 행사더라?	14
